district,year,unemployment_rate,previous_year_rate,population,labor_force
District A,2020,3.5,3.2,250000,150000
District A,2021,4.2,3.5,252000,151000
District A,2022,5.1,4.2,254000,152000
District B,2020,4.1,3.8,300000,180000
District B,2021,5.2,4.1,302000,181000
District B,2022,6.5,5.2,304000,182000
District C,2020,2.8,2.5,180000,108000
District C,2021,3.9,2.8,182000,109000
District C,2022,4.8,3.9,184000,110000
District D,2020,5.2,4.9,220000,132000
District D,2021,6.3,5.2,222000,133000
District D,2022,7.8,6.3,224000,134000
District E,2020,3.9,3.6,270000,162000
District E,2021,5.1,3.9,272000,163000
District E,2022,6.7,5.1,274000,164000
District F,2020,4.5,4.2,290000,174000
District F,2021,5.8,4.5,292000,175000
District F,2022,7.2,5.8,294000,176000
District G,2020,2.9,2.6,150000,90000
District G,2021,4.0,2.9,152000,91000
District G,2022,5.3,4.0,154000,92000
District H,2020,5.5,5.2,310000,186000
District H,2021,6.8,5.5,312000,187000
District H,2022,8.2,6.8,314000,188000
